peak_frac,scenario,scenario_label,N_valid,metric,estimate,bootstrap_se,ci_low,ci_high,unit
0.8,S2_High_Conc,High/Concentrated,400,daily_cost,1278079.59306939,2556.90494550765,1272894.14739203,1282687.10326676,currency/day
0.8,S2_High_Conc,High/Concentrated,400,daily_loss_MWh,1584.50469478748,2.72699336093469,1579.40320420134,1589.54714687962,MWh/day
0.8,S2_High_Conc,High/Concentrated,400,daily_solar_curt_MWh,0,0,0,0,MWh/day
0.8,S2_High_Conc,High/Concentrated,400,daily_wind_curt_MWh,0,0,0,0,MWh/day
0.8,S2_High_Conc,High/Concentrated,400,daily_vmin,0.993392001754982,0.000232236345167586,0.992873294414264,0.993789680983214,p.u.
0.8,S2_High_Conc,High/Concentrated,400,daily_vmax,1.05999999877539,4.35314947162932e-11,1.0599999986871,1.05999999886283,p.u.
0.8,S2_High_Conc,High/Concentrated,400,daily_vviol_hours,658.0675,1.70175600321814,654.9275,661.6075,bus-hours/day
0.8,S2_High_Conc,High/Concentrated,400,curtailment_trajectory_probability,0,0,0,0,%
0.8,S3_Low_Dist,Low/Distributed,400,daily_cost,1324189.24420639,1059.74789094503,1321882.53996329,1326065.28949433,currency/day
0.8,S3_Low_Dist,Low/Distributed,400,daily_loss_MWh,1540.97728048103,1.08449246910219,1538.82790875955,1543.12140922762,MWh/day
0.8,S3_Low_Dist,Low/Distributed,400,daily_solar_curt_MWh,0,0,0,0,MWh/day
0.8,S3_Low_Dist,Low/Distributed,400,daily_wind_curt_MWh,0,0,0,0,MWh/day
0.8,S3_Low_Dist,Low/Distributed,400,daily_vmin,0.993803918725272,2.86518012600971e-05,0.993745809302798,0.993859947595926,p.u.
0.8,S3_Low_Dist,Low/Distributed,400,daily_vmax,1.05999999886171,4.69350791518659e-11,1.05999999876713,1.05999999895033,p.u.
0.8,S3_Low_Dist,Low/Distributed,400,daily_vviol_hours,707.36,0.564964995280046,706.2175,708.36,bus-hours/day
0.8,S3_Low_Dist,Low/Distributed,400,curtailment_trajectory_probability,0,0,0,0,%
0.8,S4_High_Dist,High/Distributed,400,daily_cost,1278743.2923641,2009.37593570185,1274918.3299877,1283081.84008175,currency/day
0.8,S4_High_Dist,High/Distributed,400,daily_loss_MWh,1525.47965701709,1.54220766318868,1522.61370483417,1528.25818917407,MWh/day
0.8,S4_High_Dist,High/Distributed,400,daily_solar_curt_MWh,0,0,0,0,MWh/day
0.8,S4_High_Dist,High/Distributed,400,daily_wind_curt_MWh,0,0,0,0,MWh/day
0.8,S4_High_Dist,High/Distributed,400,daily_vmin,0.993451004663392,5.74228937588713e-05,0.993325350006632,0.993561304657503,p.u.
0.8,S4_High_Dist,High/Distributed,400,daily_vmax,1.05999999900083,4.24395380406768e-11,1.05999999891855,1.05999999908101,p.u.
0.8,S4_High_Dist,High/Distributed,400,daily_vviol_hours,705.005,1.0239904013633,702.9875,707.0175,bus-hours/day
0.8,S4_High_Dist,High/Distributed,400,curtailment_trajectory_probability,0,0,0,0,%
