N_requested,N_valid,scenario,scenario_label,metric,estimate,bootstrap_se,ci_low,ci_high,unit
1600,1600,S4_High_Dist,High/Distributed,daily_cost,1079195.52557387,978.630040565106,1077320.20747327,1081217.77016004,currency/day
1600,1600,S4_High_Dist,High/Distributed,daily_loss_MWh,1296.87112392723,0.606924525620128,1295.68798200748,1298.07316826359,MWh/day
1600,1600,S4_High_Dist,High/Distributed,solar_curt_MWh,0,0,0,0,MWh/day
1600,1600,S4_High_Dist,High/Distributed,wind_curt_MWh,0,0,0,0,MWh/day
1600,1600,S4_High_Dist,High/Distributed,curtailed_hours,0,0,0,0,h/day
1600,1600,S4_High_Dist,High/Distributed,trajectory_curt_prob_pct,0,0,0,0,%
2000,2000,S1_Low_Conc,Low/Concentrated,daily_cost,1121068.49365669,637.359923241059,1119756.72577697,1122315.73752592,currency/day
2000,2000,S1_Low_Conc,Low/Concentrated,daily_loss_MWh,1304.75315301506,0.508654994766457,1303.76594044424,1305.76386203027,MWh/day
2000,2000,S1_Low_Conc,Low/Concentrated,solar_curt_MWh,0,0,0,0,MWh/day
2000,2000,S1_Low_Conc,Low/Concentrated,wind_curt_MWh,0,0,0,0,MWh/day
2000,2000,S1_Low_Conc,Low/Concentrated,curtailed_hours,0,0,0,0,h/day
2000,2000,S1_Low_Conc,Low/Concentrated,trajectory_curt_prob_pct,0,0,0,0,%
2000,2000,S2_High_Conc,High/Concentrated,daily_cost,1076422.14095639,1174.04338526893,1074204.54552799,1078700.27274497,currency/day
2000,2000,S2_High_Conc,High/Concentrated,daily_loss_MWh,1364.53604039528,1.42896871476873,1361.81730035805,1367.43364442852,MWh/day
2000,2000,S2_High_Conc,High/Concentrated,solar_curt_MWh,0,0,0,0,MWh/day
2000,2000,S2_High_Conc,High/Concentrated,wind_curt_MWh,0.180546937052634,0.0515551539621345,0.0964102975110439,0.300329119277794,MWh/day
2000,2000,S2_High_Conc,High/Concentrated,curtailed_hours,0.021,0.00562144114979429,0.011,0.033,h/day
2000,2000,S2_High_Conc,High/Concentrated,trajectory_curt_prob_pct,0.95,0.219421017869946,0.55,1.4,%
2000,2000,S3_Low_Dist,Low/Distributed,daily_cost,1123001.65695944,451.811127526316,1122133.3457861,1123883.48733897,currency/day
2000,2000,S3_Low_Dist,Low/Distributed,daily_loss_MWh,1297.86376822238,0.421481597264042,1296.99686283114,1298.65590924911,MWh/day
2000,2000,S3_Low_Dist,Low/Distributed,solar_curt_MWh,0,0,0,0,MWh/day
2000,2000,S3_Low_Dist,Low/Distributed,wind_curt_MWh,0,0,0,0,MWh/day
2000,2000,S3_Low_Dist,Low/Distributed,curtailed_hours,0,0,0,0,h/day
2000,2000,S3_Low_Dist,Low/Distributed,trajectory_curt_prob_pct,0,0,0,0,%
2000,2000,S4_High_Dist,High/Distributed,daily_cost,1078734.532729,911.598846818825,1077032.55654271,1080519.60354661,currency/day
2000,2000,S4_High_Dist,High/Distributed,daily_loss_MWh,1296.9009719186,0.552621847657656,1295.82152200857,1297.96379852567,MWh/day
2000,2000,S4_High_Dist,High/Distributed,solar_curt_MWh,0,0,0,0,MWh/day
2000,2000,S4_High_Dist,High/Distributed,wind_curt_MWh,0,0,0,0,MWh/day
2000,2000,S4_High_Dist,High/Distributed,curtailed_hours,0,0,0,0,h/day
2000,2000,S4_High_Dist,High/Distributed,trajectory_curt_prob_pct,0,0,0,0,%
