N_requested,N_valid_pairs,contrast,contrast_label,metric,estimate_A_minus_B,bootstrap_se,ci_low,ci_high,unit
2000,2000,S2_minus_S4,High penetration: concentrated minus distributed,curtailed_hours,0.021,0.00561954170720345,0.011,0.033,h/day
2000,2000,S2_minus_S4,High penetration: concentrated minus distributed,LCP80_interaction_branch_pp,4.3125,0.308706603628583,3.69479166666667,4.95416666666667,percentage points
2000,2000,S2_minus_S1,Concentrated: high minus low penetration,daily_cost,-44646.352700292,597.73075504093,-45873.6513219462,-43564.9383326996,currency/day
2000,2000,S2_minus_S1,Concentrated: high minus low penetration,daily_loss_MWh,59.7828873802188,1.42443682861369,56.9240544747512,62.5038226203994,MWh/day
2000,2000,S2_minus_S1,Concentrated: high minus low penetration,daily_solar_curt_MWh,0,0,0,0,MWh/day
2000,2000,S2_minus_S1,Concentrated: high minus low penetration,daily_wind_curt_MWh,0.180546937052634,0.0508018545729513,0.0884039724753881,0.280349486153688,MWh/day
2000,2000,S2_minus_S1,Concentrated: high minus low penetration,curtailed_hours,0.021,0.00544305528640403,0.011,0.03225,h/day
2000,2000,S2_minus_S1,Concentrated: high minus low penetration,LCP80_interaction_branch_pp,5.09375,0.177127889446511,4.75208333333333,5.45729166666667,percentage points
2000,2000,S4_minus_S3,Distributed: high minus low penetration,daily_cost,-44267.1242304425,434.407774422676,-45145.238151724,-43425.3365477992,currency/day
2000,2000,S4_minus_S3,Distributed: high minus low penetration,daily_loss_MWh,-0.962796303781207,0.486401635808241,-1.91234639434206,-0.0127968788850804,MWh/day
2000,2000,S4_minus_S3,Distributed: high minus low penetration,daily_solar_curt_MWh,0,0,0,0,MWh/day
2000,2000,S4_minus_S3,Distributed: high minus low penetration,daily_wind_curt_MWh,0,0,0,0,MWh/day
2000,2000,S4_minus_S3,Distributed: high minus low penetration,curtailed_hours,0,0,0,0,h/day
2000,2000,S4_minus_S3,Distributed: high minus low penetration,LCP80_interaction_branch_pp,3.76875,0.122579400189607,3.52916666666667,4.01145833333333,percentage points
